"I failed the midterm, my entire academic career is ruined.",All-or-Nothing Thinking
"If I don't get an A on this paper, I am a total failure.",All-or-Nothing Thinking
"Everyone in this dorm has friends except me.",All-or-Nothing Thinking
"I will never understand coding, I'm just completely stupid.",All-or-Nothing Thinking
"My life is always a mess, nothing ever goes right.",All-or-Nothing Thinking
"She didn't text back, so our friendship is completely over.",All-or-Nothing Thinking
"I’m the only one who can’t handle the workload.",All-or-Nothing Thinking
"If I’m not the best in the class, then I’m a total loser.",All-or-Nothing Thinking
"This project is garbage, I have to delete it all and start over.",All-or-Nothing Thinking
"I’ll be alone forever.",All-or-Nothing Thinking
"Nobody respects me.",All-or-Nothing Thinking
"I always say the wrong thing.",All-or-Nothing Thinking
"Every time I try to study, I fail completely.",All-or-Nothing Thinking
"I’m never gonna get a job with this GPA.",All-or-Nothing Thinking
"It’s perfect or it’s worthless.",All-or-Nothing Thinking
"Everyone else is so much smarter than me.",All-or-Nothing Thinking
"I’m a complete waste of space.",All-or-Nothing Thinking
"Everything is falling apart rn.",All-or-Nothing Thinking
"I never get invited to parties.",All-or-Nothing Thinking
"There is absolutely no point in trying anymore.",All-or-Nothing Thinking
"I’m totally incompetent.",All-or-Nothing Thinking
"If I eat this pizza, I’ve completely ruined my diet.",All-or-Nothing Thinking
"My parents will never be proud of me.",All-or-Nothing Thinking
"I always embarrass myself in public.",All-or-Nothing Thinking
"Nothing good ever happens to me.",All-or-Nothing Thinking
"I’m completely absolutely done with this semester.",All-or-Nothing Thinking
"Everyone hates me.",All-or-Nothing Thinking
"I’ll never pay off these student loans.",All-or-Nothing Thinking
"I’m 100% sure I’m going to fail out of college.",All-or-Nothing Thinking
"Nobody understands what I'm going through.",All-or-Nothing Thinking
"This is the worst day of my entire life.",All-or-Nothing Thinking
"I’m totally useless.",All-or-Nothing Thinking
"I always procrastinate, I’m such a lazy idiot.",All-or-Nothing Thinking
"If I can't do this perfectly, I shouldn't do it at all.",All-or-Nothing Thinking
"My future is completely hopeless.",All-or-Nothing Thinking
"I’m never gonna find a boyfriend.",All-or-Nothing Thinking
"Everyone else has their life together but me.",All-or-Nothing Thinking
"I’m a total fraud.",All-or-Nothing Thinking
"I’ll never be happy.",All-or-Nothing Thinking
"Every single professor here is out to get me.",All-or-Nothing Thinking
"I messed up one question, the whole exam is a disaster.",All-or-Nothing Thinking
"I’m completely alone in this world.",All-or-Nothing Thinking
"I never finish anything I start.",All-or-Nothing Thinking
"My roommate hates everything I do.",All-or-Nothing Thinking
"I’m a total burden to my family.",All-or-Nothing Thinking
"Everything feels impossible.",All-or-Nothing Thinking
"I’ll never be good enough for med school.",All-or-Nothing Thinking
"Everyone is judging me right now.",All-or-Nothing Thinking
"I’m completely invisible to everyone.",All-or-Nothing Thinking
"It’s all my fault.",All-or-Nothing Thinking
"The professor looked at me, he definitely thinks I'm dumb.",Mind Reading
"She’s ignoring my text because she hates me.",Mind Reading
"I know they are laughing at my presentation behind my back.",Mind Reading
"I’m gonna fail this exam, I just know it.",Mind Reading
"My roommate is quiet, he must be mad at me.",Mind Reading
"They think I'm weird.",Mind Reading
"The interviewer didn't smile, I definitely didn't get the job.",Mind Reading
"Everyone thinks I’m a slacker.",Mind Reading
"She thinks I'm ugly.",Mind Reading
"I know my parents are disappointed in me.",Mind Reading
"They invited me just out of pity.",Mind Reading
"He probably thinks I'm annoying.",Mind Reading
"The TA definitely thinks I cheated.",Mind Reading
"I just know something bad is gonna happen today.",Mind Reading
"They are whispering about my outfit.",Mind Reading
"She thinks I'm not smart enough for this major.",Mind Reading
"My friends probably think I'm boring.",Mind Reading
"The cashier was rude, she definitely hates students.",Mind Reading
"I know I’m gonna say something stupid.",Mind Reading
"Everyone is looking at my acne.",Mind Reading
"He thinks I'm desperate.",Mind Reading
"My group partners think I'm lazy.",Mind Reading
"I bet they are talking about me right now.",Mind Reading
"The prof thinks I’m wasting his time.",Mind Reading
"She didn't say hi, she must be angry.",Mind Reading
"I know they don't want me there.",Mind Reading
"Everyone thinks I'm a fraud.",Mind Reading
"He thinks I'm not good enough for him.",Mind Reading
"They are judging my accent.",Mind Reading
"I know I’m going to get rejected.",Mind Reading
"My mom thinks I'm a failure.",Mind Reading
"They probably think I'm poor.",Mind Reading
"She thinks I'm trying too hard.",Mind Reading
"I know the audience is bored.",Mind Reading
"He thinks I'm crazy.",Mind Reading
"Everyone assumes I'm stupid because of my grades.",Mind Reading
"They think I have no life.",Mind Reading
"The barista definitely judged my order.",Mind Reading
"I know they are secretly making fun of me.",Mind Reading
"She thinks I'm awkward.",Mind Reading
"My boss thinks I'm incompetent.",Mind Reading
"They probably hate sitting next to me.",Mind Reading
"I know I'm gonna trip on stage.",Mind Reading
"He thinks I'm too loud.",Mind Reading
"They are judging my lunch.",Mind Reading
"She thinks I'm weird for sitting alone.",Mind Reading
"Everyone thinks I don't belong here.",Mind Reading
"I bet they think I'm a loser.",Mind Reading
"I know I'm gonna mess this up.",Mind Reading
"I'm so exhausted today.",Neutral / Venting
"I got a C on the calc quiz.",Neutral / Venting
"My laptop broke and I can't afford to fix it.",Neutral / Venting
"I miss my dog so much.",Neutral / Venting
"The cafeteria food was really bad today.",Neutral / Venting
"I have too much homework this week.",Neutral / Venting
"I'm feeling pretty anxious about the presentation.",Neutral / Venting
"My roommate left dishes in the sink again.",Neutral / Venting
"I didn't get the internship I wanted.",Neutral / Venting
"It’s raining and I forgot my umbrella.",Neutral / Venting
"I'm really stressed about money rn.",Neutral / Venting
"I feel kinda lonely.",Neutral / Venting
"My back hurts from sitting in the library all day.",Neutral / Venting
"I wish I had studied more for that test.",Neutral / Venting
"This assignment is really difficult.",Neutral / Venting
"I’m tired of eating instant noodles.",Neutral / Venting
"I slept through my alarm this morning.",Neutral / Venting
"I'm not feeling motivated today.",Neutral / Venting
"My head hurts.",Neutral / Venting
"I argued with my mom on the phone.",Neutral / Venting
"The bus is late again.",Neutral / Venting
"I feel overwhelmed by everything.",Neutral / Venting
"I got rejected from the club.",Neutral / Venting
"My wifi keeps cutting out.",Neutral / Venting
"I’m sad that my friends went out without me.",Neutral / Venting
"This textbook makes no sense.",Neutral / Venting
"I'm just really burned out.",Neutral / Venting
"My scholarship check is late.",Neutral / Venting
"I don't know how to solve this problem.",Neutral / Venting
"I feel a bit homesick.",Neutral / Venting
"It’s super cold in my dorm room.",Neutral / Venting
"I have a headache.",Neutral / Venting
"I spilled coffee on my shirt.",Neutral / Venting
"I need to find a job soon.",Neutral / Venting
"I'm worried about my grades.",Neutral / Venting
"The library is too loud today.",Neutral / Venting
"I gained some weight recently.",Neutral / Venting
"I'm not ready for finals.",Neutral / Venting
"My phone screen cracked.",Neutral / Venting
"I feel kinda down.",Neutral / Venting
"I have to skip lunch to study.",Neutral / Venting
"I’m frustrated with this group project.",Neutral / Venting
"I miss my friends from home.",Neutral / Venting
"I have 8am classes every day.",Neutral / Venting
"I'm really broke until next week.",Neutral / Venting
"I just want to sleep.",Neutral / Venting
"I'm struggling with this essay.",Neutral / Venting
"The professor talks too fast.",Neutral / Venting
"I feel like crying.",Neutral / Venting
"Everything is just really hard right now.",Neutral / Venting
"Я полностью провалил экзамен, я полный идиот.",All-or-Nothing Thinking
"Мен ешқашан жұмыс таба алмаймын.",All-or-Nothing Thinking
"Everyone hates me.",All-or-Nothing Thinking
"Если я не сдам этот тест, моя жизнь кончена.",All-or-Nothing Thinking
"Мен ешқашан бақытты болмаймын.",All-or-Nothing Thinking
"Nobody understands me.",All-or-Nothing Thinking
"Я всегда все порчу.",All-or-Nothing Thinking
"Бәрі мені жек көреді.",All-or-Nothing Thinking
"It's perfect or it's nothing.",All-or-Nothing Thinking
"Я никогда не буду достаточно хорош.",All-or-Nothing Thinking
"Менің өмірім толығымен құрыды.",All-or-Nothing Thinking
"Every time I try, I fail completely.",All-or-Nothing Thinking
"Никто меня не любит.",All-or-Nothing Thinking
"Ешкім мені сыйламайды.",All-or-Nothing Thinking
"I'm a total failure.",All-or-Nothing Thinking
"Я абсолютно бесполезен.",All-or-Nothing Thinking
"Мен ешқашан үйленбеймін.",All-or-Nothing Thinking
"Everyone is smarter than me.",All-or-Nothing Thinking
"Я всегда делаю ошибки.",All-or-Nothing Thinking
"Бәрі мені күлкіге айналдырады.",All-or-Nothing Thinking
