timestamp,user_id,text,prediction,system,feedback
2025-11-22T10:15:22,u_101,"I failed one quiz, so now my entire degree is ruined.",ALL_OR_NOTHING,System B (SVM),helpful
2025-11-22T10:18:45,u_101,"I'm just feeling really tired today.",NEUTRAL_DISTRESS,System B (SVM),helpful
2025-11-22T10:45:11,u_102,"Everyone hates me.",MIND_READING,System A (Rules),helpful
2025-11-22T11:02:33,u_103,"Мен ешқашан бақытты болмаймын.",ALL_OR_NOTHING,System B (SVM),helpful
2025-11-22T11:05:12,u_103,"Бәрі мені жек көреді.",MIND_READING,System B (SVM),helpful
2025-11-22T12:20:05,u_104,"She didn't text back, she must be angry at me.",MIND_READING,System A (Rules),helpful
2025-11-22T12:22:19,u_104,"I am literally cooked.",NEUTRAL_DISTRESS,System A (Rules),not_helpful
2025-11-22T12:25:40,u_105,"I am literally cooked.",ALL_OR_NOTHING,System B (SVM),helpful
2025-11-22T13:10:55,u_106,"Препод так посмотрел, он точно думает что я тупой.",MIND_READING,System A (Rules),helpful
2025-11-22T13:15:22,u_106,"Я провалил тест, жизнь кончена.",ALL_OR_NOTHING,System A (Rules),helpful
2025-11-22T14:40:10,u_107,"Salary raise or nothing!",ALL_OR_NOTHING,System B (SVM),helpful
2025-11-22T14:42:05,u_107,"I think my friends are jealous of me.",MIND_READING,System B (SVM),helpful
2025-11-22T15:05:30,u_108,"My kids are lazy.",MIND_READING,System A (Rules),not_helpful
2025-11-22T15:08:11,u_108,"My kids represent total failure.",ALL_OR_NOTHING,System A (Rules),helpful
2025-11-22T16:12:44,u_109,"He 100% is gay.",MIND_READING,System B (SVM),helpful
2025-11-22T16:15:22,u_109,"Мне кажется или они думают что я говно.",MIND_READING,System B (SVM),helpful
2025-11-22T17:30:05,u_110,"Я абсолютное говно.",NEUTRAL_DISTRESS,System A (Rules),not_helpful
2025-11-22T17:32:10,u_110,"Я никогда не стану счастливым.",ALL_OR_NOTHING,System A (Rules),helpful
2025-11-22T18:45:33,u_111,"She is always late.",ALL_OR_NOTHING,System B (SVM),helpful
2025-11-22T18:48:12,u_111,"I think my friend is not my friend because she is jealous.",MIND_READING,System B (SVM),helpful
2025-11-22T19:20:55,u_112,"My mom doesnt love me.",MIND_READING,System A (Rules),helpful
2025-11-22T19:25:10,u_112,"I need that job or nothing.",ALL_OR_NOTHING,System A (Rules),helpful
2025-11-22T20:10:22,u_101,"I feel the burden.",NEUTRAL_DISTRESS,System B (SVM),helpful
2025-11-22T20:15:44,u_103,"Ол мені жек көреді деп ойлаймын.",MIND_READING,System B (SVM),helpful
2025-11-22T21:05:30,u_105,"This project is a total disaster.",ALL_OR_NOTHING,System B (SVM),helpful
2025-11-22T21:10:15,u_107,"Everyone is against me.",ALL_OR_NOTHING,System B (SVM),helpful
2025-11-22T22:00:00,u_104,"Everything is perfect!",ALL_OR_NOTHING,System A (Rules),not_helpful
