text,label
"я никогда не найду работу, я буду безработным неудачником.",ALL_OR_NOTHING
my life is completely over if i don't pass this calculus final.,ALL_OR_NOTHING
i feel like crying.,NEUTRAL_DISTRESS
ішім пысты.,NEUTRAL_DISTRESS
"every time i try to study, i fail completely.",ALL_OR_NOTHING
они меня ненавидят.,MIND_READING
я хочу суициднуться. с кем можно поговорить?,NEUTRAL_DISTRESS
she’s ignoring my text because she hates me.,MIND_READING
"родители наверняка разочарованы во мне, хоть и молчат.",MIND_READING
"это полный провал, хуже быть не может.",ALL_OR_NOTHING
it's been a long week.,NEUTRAL_DISTRESS
i have too much homework.,NEUTRAL_DISTRESS
there is absolutely no point in trying anymore.,ALL_OR_NOTHING
i need to study more.,NEUTRAL_DISTRESS
я забыл ключи в комнате.,NEUTRAL_DISTRESS
"really anxious about the presentation today, shaking rn.",NEUTRAL_DISTRESS
у меня никогда не будет денег.,ALL_OR_NOTHING
every time i speak up i embarrass myself.,ALL_OR_NOTHING
i hate group projects so much.,NEUTRAL_DISTRESS
i'm useless.,ALL_OR_NOTHING
у меня никогда ничего не получается с первого раза.,ALL_OR_NOTHING
ешкім мені сыйламайды.,ALL_OR_NOTHING
мен ешқашан емтиханнан өтпеймін.,ALL_OR_NOTHING
"if i can't do this perfectly, i shouldn't do it at all.",ALL_OR_NOTHING
i'm not ready for finals.,NEUTRAL_DISTRESS
"this university is absolute trash, nothing works here.",ALL_OR_NOTHING
я никогда не смогу это выучить.,ALL_OR_NOTHING
everyone else is so much smarter than me.,ALL_OR_NOTHING
i failed the ielts mock test.,NEUTRAL_DISTRESS
скучаю по коту.,NEUTRAL_DISTRESS
i never get invited to parties.,ALL_OR_NOTHING
they invited me just out of pity.,MIND_READING
i'm hungry.,NEUTRAL_DISTRESS
"осциллограф всегда какую то дичь показывает я устал. не, картинка нормальная, вот просто плохо измеряет.",ALL_OR_NOTHING
i miss my dog so much it hurts.,NEUTRAL_DISTRESS
"я потерял стипендию, теперь я бомж.",ALL_OR_NOTHING
