text,label,reason
"В университете проводится столько разных мероприятий, и часто возникают лёгкие сожаления о том, что я их пропускаю (иногда нет особо сил). С другой стороны, радуюсь тому, что сейчас уже легче отношусь к этому, и фомо тихомирится. Вроде ничего страшного в том, чтобы не быть социально активной, а вроде юность проходит",NOISE,"Mixed feelings, not severe distress"
"с каждым днем мне все больше хочется закурить

что мне с этим делать?",NOISE,"Expresses urge, asks advice"
Пиздец мне плохо становится когда кто то лучше меня,DISTRESS,Expresses strong emotional pain
"do squats until failure everyday, you will walk like you have been r4iled
thank me later xx",NOISE,"Irrelevant content, gives advice"
VA posts are going to be full anonymous bc no one is allowed to post another way. I'll come back later with another useless fact,NOISE,"Factual information, irrelevant topic"
"Только у меня бывает такое, что в голове появляются стыдные мысли, а потом оборачиваешься вокруг и думаешь,'надеюсь никто не умеет читать мысли' ?",MIND_READING,Fears others can read thoughts
"Мой папа настаивает на psir мэйджоре, но я пока не брала эти  курсы, даже боюсь, что не смогу задеклейрить. Какие плюсы и минусы?",NOISE,"Asks for advice, situational fear"
"Блять я че настолько тупой, я не могу уже столько учиться и такие низкие оценки получать я заебался",ALL_OR_NOTHING,Global negative self-labeling (stupid)
"возможно буду выглядеть как полный идиот, но меня реально это беспокоит. я человек который не курит, не парит, и в целом не имею вредных привычек. но в последнее время, из за напряженного второго курса, друзей, и музыки которую слушаю, так и хочется начать курить. понимаю что это вредно, но блин, как же они выглядят расслабленными, и как же красиво выглядит эта эстетика в песнях, клипах, книгах и всем таком прочем. боюсь что в один день сорвусь да и начну курить, что посоветуете сделать?",NOISE,"Expresses temptation, asks advice"
"я вот не пойму, у нас с сокращением бюджета типа обслуживание туалетов прекратилось или что…почему везде либо кабинки сломаны (дверь не закрывается), либо унитаз не смывает, либо ободок отломался, либо блять туалетной бумаги нет, причем никогда, это не так, что к вечеру она заканчивается, нет, ее просто никогда не ставят. я не знаю уже что думать, но такого раньше точно не было",NOISE,"Situational complaining, external anger"
"Что если я не готова к интимной близости, все ли отношения строятся на этом? Можно но ли иметь отношения без этого?",NOISE,Asks for advice/information
"Ой ребят, участвую в одной коррупционной схеме
НИКОМУ НЕ РЕКОМЕНДУЮ
Сидишь с этими чертовыми конвертами
И кажется будто вот-вот влетит антикор, КНБ и все все все, чтобы привязать меня 
Ну нахер эти схемы, живите честно",MIND_READING,Fears authorities will catch them
